Source,Target,Type,Text Index
Justification,External Source,MAY_REFERENCE,8
Justification,Prevailing Opinion,MAY_REFLECT,8
Justification,Specific Facts,MAY_PRESENT,8
Questions,Forecasters,ADDRESSED_BY,8
Calling A Question,Question,INVOLVES,8
Calling A Question,Forecasts,RELIESON,8
Daily,Forecasts,USES,8
Active,Forecaster,USES,8
Forecasts,Prediction,CONTAINS,8
Forecasts,Justification,CONTAINS,8
Crowd,Forecaster,MEMBER_OF,8
Forecaster,Predictions,MAKES,8
Predictions,Accuracy,RELATED_TO,8
Predictions,Justifications,SUPPORTED_BY,8
Justifications,Credibility,INFLUENCE,8
Language,Attributes,CONTAINS,8
Language,Relationships,INFLUENCED_BY,8
Relationships,Social Networks,EXAMPLE_OF,8
Relationships,Online Communities,EXAMPLE_OF,8
Relationships,Corporate Emails,EXAMPLE_OF,8
Relationships,Interpersonal Interactions,EXAMPLE_OF,8
Form And Function,Politeness,ASPECT_OF,8
Form And Function,Empathy,ASPECT_OF,8
Form And Function,Advice,ASPECT_OF,8
Form And Function,Condolences,ASPECT_OF,8
Form And Function,Usefulness,ASPECT_OF,8
Form And Function,Deception,ASPECT_OF,8
Researchers,Wikipedia Editors,STUDIES,8
Researchers,Influence Levels,STUDIES,8
Researchers,Online Communities,STUDIES,8
Researchers,Persuasion,ANALYZES,8
Persuasion,Dialogue Systems,CONTEXT,8
Researchers,Computational Linguistics,FIELD,8
Computational Linguistics,Argumentation,RELATED_TO,8
Argumentation,Claims,INCLUDES,8
Argumentation,Premises,INCLUDES,8
Argumentation,Backing,INCLUDES,8
Argumentation,Rebuttals,INCLUDES,8
Argumentation,Refutations,INCLUDES,8
Researchers,Crowdsourced Forecasts,ANALYZES,8
Researchers,Superforecasters,STUDIES,8
Good Judgment Open,Questions,HOSTS,8
Questions,Forecasts,RECEIVES,8
Parkinson'S Disease,Gait Impairment,CAUSES,9
Levodopa Therapy,Gait Impairment,AFFECTS,9
Levodopa Therapy,On State,INDUCES,9
Levodopa Therapy,Off State,REDUCES,9
On State,Gait Speed,IMPROVES,9
Off State,Gait Speed,DETERIORATES,9
Wearable Devices,Rssi,PROVIDES,9
Wearable Devices,Accelerometer Data,PROVIDES,9
Rssi,Indoor Localization,INPUT_FOR,9
Accelerometer Data,Indoor Localization,INPUT_FOR,9
Indoor Localization,Gait Speed,PROVIDES,9
Transformer-Based Method,Indoor Localization,IMPLEMENTS,9
Parkinson'S Disease,Bradykinesia,CAUSES,9
Parkinson'S Disease,Rigidity,CAUSES,9
Parkinson'S Disease,Gait Impairment,CAUSES,9
Levodopa,Parkinson'S Disease,TREATS,9
Levodopa,Motor Fluctuations,CAUSES,9
Wearing Off,Motor Fluctuations,IS_A,9
Motor Fluctuations,Quality Of Life,AFFECTS,9
John Doe,Pd,HAS_DISEASE,9
Person,Environment,IN,9
Person,Iot_Platform,USES,9
Iot_Platform,Sensors,CONSISTS_OF,9
Sensors,Radio_Frequency_Signals,GENERATES,9
Radio_Frequency_Signals,Access_Points,DETECTED_BY,9
Person,Accelerometer_Data,PRODUCES,9
Rssi,Indoor Localization,USED_FOR,9
Accelerometer Data,Indoor Localization,USED_FOR,9
Accelerometer Data,Person,COLLECTED_FROM,9
Tremors,Person,AFFECTS,9
Wrist - Worn Device,Accelerometer Data,PROVIDES,9
Room,Indoor Localization,OCCURS_IN,9
Home Gait Speed Biomarkers,Off Or On Medication State,CLASSIFY,9
Popularity Bias,Collaborative Filtering,AFFECTS,10
Popularity Bias,User Preferences,DISTORTS,10
Popularity Bias,Matthew Effect,CONTRIBUTESTO,10
Popularity Bias,Dataset Skew,CAUSES,10
Popularity Bias,Accuracy,IMPACTS,10
Paac,Popularity Bias,ADDRESSES,10
Paac,Item Representations,IMPROVES,10
Paac,Representations Separation,REDUCES,10
Supervised Alignment,Paac,COMPONENTOF,10
Popularity,Paac,BASISFOR,10
Recommender Systems,Information Overload,ADDRESS,10
Recommender Systems,Collaborative Filtering,EMPLOY,10
Collaborative Filtering,User Preferences,LEARNFROM,10
Collaborative Filtering,Item Attributes,LEARNFROM,10
Collaborative Filtering,Popularity Bias,CAUSE,10
Popularity Bias,Overfitting,CAUSE,10
Popularity Bias,Matthew Effect,CAUSE,10
Popularity Bias,Unpopular Items,AFFECT,10
Popularity Bias,Representation Separation,CAUSE,10
Popularity Bias,Distinct Semantic Spaces,CAUSES,10
Distinct Semantic Spaces,Intensification Of Bias,RESULTS_IN,10
Intensification Of Bias,Diminishment Of Precision Of Recommendations,RESULTS_IN,10
Popularity - Aware Alignment And Contrast ( Paac ) Method,Reduction Of Popularity Bias,AIMS_TO,10
Popularity - Aware Alignment And Contrast ( Paac ) Method,Unpopular Item Representations,UTILIZES,10
Popularity - Aware Alignment And Contrast ( Paac ) Method,Popularity - Aware Supervised Alignment Module,INCLUDES,10
Popularity - Aware Alignment And Contrast ( Paac ) Method,Re - Weighting System,INCLUDES,10
Popularity - Aware Supervised Alignment Module,Alignment Of Representations,DIRECTS,10
Alignment Of Representations,Users And Items That Have Interacted,EMPHASIZES,10
Alignment Of Representations,Items Closer To Interacted Users,CAUSES,10
Limited Interactions,Unpopular Items,CHARACTERISTIC_OF,10
Limited Interactions,Overfitting,CAN_RESULT_IN,10
Overfitting,Unrepresentation Of Unpopular Items,CAUSES,10
Wealth Of Supervisory Signals,Popular Items,BENEFIT_FROM,10
Wealth Of Supervisory Signals,Effective Learning Of Representations,HELPS_IN,10
User,Popular_Items,INTERACTED_WITH,10
User,Unpopular_Items,INTERACTED_WITH,10
Popular Items,Unpopular Items,REPRESENTATION_SEPARATION,10
This Paper,An Approach For Designing Neural Networks,DESCRIBES,11
Reluplex,Adversarial Robustness,USED_FOR,11
Neural Networks,Adversarial Robustness,RELATED_TO,11
Acas Xu,Abstraction-Refinement Optimization,APPLIED_TO,11
Abstraction-Refinement Optimization,Safety Properties,AIMS_TO_ACHIEVE,11
Neural Networks,Input-Output Constraints,CONSTRAINED_BY,11
Input-Output Constraints,Online Learning,APPLICABLE_IN,11
Our Correct - By - Construction Safe Predictor,Safe Predictor,IS_A,11
Input Space X,"Collection ( A, B ) A ⊆ X Bof C Different Pairs Of Input - Output Constraints",PART_OF,11
Output Space Y,"Collection ( A, B ) A ⊆ X Bof C Different Pairs Of Input - Output Constraints",PART_OF,11
Convex Subseti I I Iy I F : X → Y,"Collection ( A, B ) A ⊆ X Bof C Different Pairs Of Input - Output Constraints",PART_OF,11
Bit - String Of Length,"Set Of Points Such That, For All, Impliesb Iz ∈ A B = 0 Z ∈ / A O, And Implies.",DEFINES,11
Theorem 2.1,Appendix A,FORMAL_PROOF_OF,11
Input Set,Proximity And Weighting Functions,INPUT_TO,11
Proximity And Weighting Functions,Constrained Predictors,GENERATE,11
Constrained Predictors,Safe Predictor,COMBINE_TO_FORM,11
Constrained Predictors,Constraint Overlap Sets,RELATED_TO,11
Constraint Overlap Sets,Constrained Predictors,DETERMINE_NUMBER_OF,11
Safe Predictor,Figure 1,ILLUSTRATED_BY,11
1,2,DESCRIBES,11
2,3,IS_RELATED_TO,11
Relu Networks,Neural Restricted Isometry Property (Neurips),RELATED_TO,12
Shallow Relu Networks,Neural Restricted Isometry Property (Neurips),IS_A,12
Neural Restricted Isometry Property (Neurips),Covering Numbers,USED_TO_DETERMINE,12
Covering Numbers,Sub-Gaussian Metric,MEASURED_USING,12
Sub-Gaussian Metric,Chaining Techniques,APPLIED_IN,12
Chaining Techniques,Empirical Risk,USED_TO_BOUND,12
Empirical Risk,Generalization Error,RELATED_TO,12
Generalization Error,Statistical Learning Theory,QUANTIFIED_BY,12
Statistical Learning Theory,Supervised Machine Learning,PROVIDES_FRAMEWORK_FOR,12
Supervised Machine Learning,Model Discovery,APPLIED_IN,12
Model Discovery,Model Limitations,AIMS_TO_UNDERSTAND,12
Model Limitations,Training Data,INFLUENCED_BY,12
Vc - Dimension,Generalization Error Bounds,USED_FOR,12
Rademacher Complexity,Generalization Error Bounds,USED_FOR,12
Generalization Error Bounds,Classification Problems,APPLICABLE_TO,12
Generalization Error Bounds,Regression Problems,APPLICABLE_TO,12
Neural Networks,Risk Surface,HAS_RISK_SURFACE,12
Risk Surface,Generalization,INFLUENCES,12
Risk Surface,Local Minima,CONTAINS,12
Risk Surface,Global Minimum,HAS,12
Risk Surface,Connected Component,HAS,12
Risk Surface,Sublevel Set,HAS,12
Shallow Relu Networks,Generalization Error Bounds,HAS_GENERALIZATION_ERROR_BOUNDS,12
Empirical Risk Minimizer,Generalization Error Bounds,PROVIDES_BOUNDS_FOR,12
Chaining Theory,Empirical Risk Minimizer,BASIS_FOR,12
Empirical Risk,Empirical Risk Minimizer,MINIMIZES,12
Shallow Relu Networks,Generalization Error Bounds,SUBJECT_OF,12
Existing Works,Compressed Sensing,APPLIED,12
This Paper,Chaining Theory,UTILIZES,12
Neural Restricted Isometry Property (Neurips),Sample Complexity,RELATED_TO,12
Optimization Algorithm,Empirical Risk,FINDS,12
Network Recovery Setting,Generalization Error,BOUND_ON,12
Agnostic Learning Setting,Generalization Error,BOUND_ON,12
Section Vi,Future Research Directions,CONTAINS,12
C,W,BELONGS_TO,12
C,B,BELONGS_TO,12
C,Κ,BELONGS_TO,12
C,P,BELONGS_TO,12
C,N,BELONGS_TO,12
C,X,BELONGS_TO,12
C,Y,BELONGS_TO,12
C,M,BELONGS_TO,12
C,Cid,BELONGS_TO,12
Onx,Y,COLLABORATES,12
Min-Max Problems,Nonconvex - Nonconcave Problems,IS_A,13
Nonconvex - Nonconcave Problems,Weak Minty Solutions,HAS_SOLUTION_PROPERTY,13
Optimistic Gradient Method ( Ogda ),Weak Minty Solutions,SOLVES,13
Extragradient Method ( Eg ),Weak Minty Solutions,SOLVES,13
Adaptive Step Size,Extragradient Method ( Eg ),HAS_FEATURE,13
Machine Learning Models,Min-Max Problems,IS_USED_IN,13
Generative Adversarial Networks,Machine Learning Models,IS_A,13
Adversarial Learning Frameworks,Machine Learning Models,IS_A,13
Adversarial Example Games,Machine Learning Models,IS_A,13
Actor - Critic Methods,Machine Learning Models,IS_A,13
Saddle Point Problems,Machine Learning Models,IS_A,13
Extragradient Method,Nonconvex - Nonconcave Min - Max Problems,CAN_SOLVE,13
Weak Minty Solution,Extragradient Method,IS_APPLICABLE_TO,13
Nonconvex - Nonconcave Min - Max Problems,Intracavity,MAY_EXHIBIT,13
Nonconvex - Nonconcave Min - Max Problems,Monotonicity,MAY_LACK,13
Nonconvex - Nonconcave Min - Max Problems,Minty Solutions,MAY_LACK,13
Nonconvex - Nonconcave Min - Max Problems,Negative Comonotonicity,MAY_NOT_POSSESS,13
Operator Norm,Eg+,RELATED_TO,13
Eg+,Eg,VARIATION_OF,13
Optimistic Gradient Descent Ascent,Forb,ALTERNATIVE_NAME,13
Forb,Ogda,ALTERNATIVE_NAME,13
Ogda,Weak Minty Solutions,DEALS_WITH,13
Must Be Greater Than 1 To Ensure Convergence,Monotone Problems,NOT_OBSERVED_IN,13
General Smooth Min - Max Problem,Saddle Point Problems,VIEWPOINT_OF,13
Saddle Point Problems,Variational Inequalities (Vis),CAN_ADDRESS,13
Variational Inequalities (Vis),Equilibrium Problems,ADDRESS,13
Weak Minty Solutions,Step Size,CRUCIAL_FOR,13
Step Size,Lipschitz Constant,LIMITED_BY,13
Ogda,Step Size,REQUIRES,13
Eg,Step Size,REQUIRES,13
Ogda +,Convergence Rate,HAS,13
Ogda +,Operator Norm,MEASURES,13
Eg +,Adaptive Step Size,HAS,13
Eg +,Convergence Guarantees,HAS,13
Eg +,Lipschitz Constant,DOESNOTREQUIRE,13
Weak Minty,Von Neumann Ratio Game,EXHIBITED_IN,13
Convergence Rates,Monotone Problems,STUDIED_IN,13
Nonconvex - Concave,Convergence Rates,CONTEXT_OF,13
Weak Minty,Extrapolation Step Size,IMPACTS,13
Weak Minty,Update Step,IMPACTS,13
Backtracking Line Search,Gradient Computations,INVOLVES,13
Backtracking Line Search,Second - Order Information,REQUIRES,13
Min - Max Setting,Multiple Ascent Steps,UTILIZED_IN,13
Deep Generative Models,Diffusion Models,SUBCATEGORY,14
Deep Generative Models,Generative Adversarial Networks,MODEL,14
Deep Generative Models,Variational Autoencoders,MODEL,14
Diffusion Models,Denoising Diffusion Probabilistic Models,SUBCLASS,14
Diffusion Models,Score - Based Generativemodels,SUBCLASS,14
Mbacke Et Al. ( 2023 ),Denoising Diffusion Probabilistic Models,REFERENCES,14
Ddpms,Score_Function,IMPLICITLY_APPROXIMATES,14
Ddpms,Langevin_Dynamics,SAMPLING_PROCESS_RESEMBLES,14
Sgms,Score_Function,SCORE_FUNCTION_APPROXIMATION,14
Sgms,Brownian_Motion,DISCRETIZATION_OF,14
Ddpms,Ornstein_Uhlenbeck_Process,DISCRETIZATION_OF,14
Ddpms,Sgms,UNIFIED_PERSPECTIVE,14
Ddpms,Diffusion_Models,BELONGS_TO,14
Sgms,Diffusion_Models,BELONGS_TO,14
Vae,Ddpms,METHODS_APPLIED_TO,14
Noise_Levels,Training_Samples,ADDED_TO,14
Training_Samples,Instance_Space,ENCOMPASSING,14
Hierarchicalvaes,Fixed Encoders,HASPART,14
Hierarchicalvaes,Wasserstein,USES,14
Hierarchicalvaes,Upper Bounds,PROVIDES,14
Hierarchicalvaes,Data Distribution,OPERATESON,14
Hierarchicalvaes,Score Function,DEPENDSON,14
Hierarchicalvaes,Sde Toolkit,AVOIDS,14
Hierarchicalvaes,Forward Processes,USES,14
Hierarchicalvaes,Backward Processes,USES,14
Hierarchicalvaes,Discrete - Time,EMPLOYS,14
Hierarchicalvaes,Continuous - Time Processes,DIFFERSFROM,14
Sgms,Convergence,DEMONSTRATES,14
Sgms,Log - Sobolev Inequalities,SOMETIMESRELIESON,14
Sgms,Kullback - Leibler ( Kl ) Divergence,COMPARESWITH,14
Sgms,Total Variation ( Tv ) Distance,COMPARESWITH,14
Sgms,Data - Generating Distribution,OPERATESON,14
Sgms,Distribution Learned,PRODUCES,14
Sgms,Diffusion Model,ISA,14
Real - World Data Distributions,Data - Generating Distribution,ISSIMILARTO,14
Manifold Hypothesis,Data Generating Distribution,RELATED_TO,14
Bound,Reconstructionloss,DEPENDENT_ON,14
Reconstructionloss,Sample,CALCULATED_OVER,14
Sample,Data_Generating_Distribution,FROM,14
Data_Generating_Distribution,Reconstruction,GENERATES,14
Reconstruction,Noise,OBTAINED_FROM,14
Noise,Backward_Process,PASSED_THROUGH,14
Backward_Process,Vae,INSPIRED_BY,14
Vae,Bound,OFFERS_BENEFITS,14
Bound,Wasserstein_Distance,PROVIDES_UPPER_BOUND_BASED_ON,14
Bound,Instance_Space,DEFINED_ON,14
Instance_Space,Metric,USES,14
Metric,Target_Data_Generating_Distribution,ASSUMED_BY,14
Lebesgue Measure,Wasserstein Distance,RELATED_TO,14
Euclidean Norm,Wasserstein Distance,USED_AS_SHORTHAND_FOR,14
Probability Measures,Wasserstein Distance,INPUT_TO,14
